Unnamed: 0,Name,Age,Salary,PAN,Email,PAN_valid,Email_valid,Age_valid,Salary_valid,Overall_Status,Errors
0,,130.0,,PATED2424K,ppgcpo@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
1,Rohit,82.0,-10000.0,RYGQW2263R,test@gmail,True,False,True,False,False,"Invalid Email, Invalid Salary"
2,Rohit,-5.0,-10000.0,FCSOK2712J,mdkgry@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
3,Priya,130.0,,78zYyYWvBE,abc@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
4,Rahul,130.0,,LXQZW4807U,dwthym@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
5,Priya,97.0,97737.0,AfrfsNMasp,rfrbpa@gmail.com,False,True,True,True,False,Invalid PAN
6,Priya,-5.0,-10000.0,LGDQZ8171L,abc@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
7,,130.0,32487.0,RXxso6VCpD,abc@,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
8,,-5.0,,ZPLCE3067Y,,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
9,Rahul,-5.0,-10000.0,WMdjXxd7pY,test@gmail,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
10,Rahul,-5.0,-10000.0,DPS7Ouf2H8,kbdnqj@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
11,Rahul,130.0,,WFZHF9030I,rogpam@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
12,Rahul,,,fTRvrGEGaI,xqxopk@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
13,,130.0,35889.0,SlsFV7r31M,jujsvj@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
14,Karan,5.0,69829.0,CCLIO3340B,abc@,True,False,True,True,False,Invalid Email
15,,90.0,-10000.0,WDAEV0720M,vuunja@gmail.com,True,True,True,False,False,Invalid Salary
16,Rohit,78.0,,BAJIG1601Q,,True,False,True,False,False,"Invalid Email, Invalid Salary"
17,Simran,57.0,,iIqGgMlcuO,,False,False,True,False,False,"Invalid PAN, Invalid Email, Invalid Salary"
18,Aman,130.0,-10000.0,DNwffy4lom,fneyad@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
19,Anjali,20.0,,EsTzK7OxKI,user@,False,False,True,False,False,"Invalid PAN, Invalid Email, Invalid Salary"
20,Rohit,130.0,-10000.0,MPQIW3835K,,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
21,Priya,91.0,-10000.0,4Z3APTOq5C,mcmsfr@gmail.com,False,True,True,False,False,"Invalid PAN, Invalid Salary"
22,Aman,78.0,49625.0,MgCirI4WK8,abc@,False,False,True,True,False,"Invalid PAN, Invalid Email"
23,Priya,130.0,-10000.0,MOPUS1732Y,fjlewn@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
24,,130.0,,NFFEQ1043B,test@gmail,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
25,Rohit,130.0,-10000.0,YHEVS8779W,qvtouc@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
26,Rohit,2.0,52455.0,QYLAN7502J,,True,False,True,True,False,Invalid Email
27,Karan,-5.0,-10000.0,NSXHF2491R,dhjjal@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
28,Priya,-5.0,71310.0,PmkbElF1Hc,krdyyf@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
29,Karan,82.0,,DOjxdi5PPf,,False,False,True,False,False,"Invalid PAN, Invalid Email, Invalid Salary"
30,Karan,,-10000.0,pJuXrZ2BZQ,abc@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
31,Aman,,51302.0,m9h97yuKne,user@,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
32,Neha,-5.0,,BQYLW9265O,test@gmail,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
33,Neha,-5.0,,xdS2joJKbQ,test@gmail,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
34,Neha,,-10000.0,K9ia1Iv4d0,user@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
35,,38.0,-10000.0,MTKYO1945N,vamdps@gmail.com,True,True,True,False,False,Invalid Salary
36,Rahul,,67941.0,OBRLT0600K,abc@,True,False,False,True,False,"Invalid Email, Invalid Age"
37,,130.0,-10000.0,hHmw9sYQ22,nxfvju@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
38,Karan,-5.0,,GodD11afdc,test@gmail,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
39,Aman,-5.0,-10000.0,UZoGtkIqi3,egrytp@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
40,Karan,,-10000.0,2aeEq53pja,rgrccy@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
41,Rohit,13.0,70729.0,eEmrK7zciw,joocsq@gmail.com,False,True,True,True,False,Invalid PAN
42,Aman,-5.0,,SULCY0208M,,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
43,Simran,38.0,-10000.0,WOIQR4377A,user@,True,False,True,False,False,"Invalid Email, Invalid Salary"
44,Rohit,-5.0,-10000.0,mrpudkl2eA,test@gmail,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
45,Aman,-5.0,,HWIZD0477J,hjxvbv@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
46,,23.0,-10000.0,QUOKL2820J,user@,True,False,True,False,False,"Invalid Email, Invalid Salary"
47,Karan,19.0,,FAPZJ3952P,abc@,True,False,True,False,False,"Invalid Email, Invalid Salary"
48,Rahul,-5.0,20502.0,CYCFNQJLwU,abc@,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
49,Neha,130.0,,IZXFW9577F,hsktxp@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
50,Neha,,83741.0,6KMTuchsk2,lfbgqi@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
51,Anjali,130.0,-10000.0,SCDVK1263H,user@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
52,Simran,,-10000.0,MRGNO0664N,onfhhk@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
53,Aman,130.0,,YGIPA2953Q,wdlvqg@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
54,,,99173.0,VWJKK3437P,owctcy@gmail.com,True,True,False,True,False,Invalid Age
55,,130.0,-10000.0,DUOBH9874V,taqbgj@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
56,Rahul,-5.0,-10000.0,CtRFwVdqHu,user@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
57,Aman,,,AvXE0bVX4d,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
58,,130.0,97393.0,0Lcagn24G8,user@,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
59,Neha,-5.0,,S29wiFf4dp,abc@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
60,Aman,-5.0,97554.0,PWIZG1488P,abc@,True,False,False,True,False,"Invalid Email, Invalid Age"
61,Aman,130.0,-10000.0,TWRIC2554W,,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
62,Neha,-5.0,,SYZUN2032L,abc@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
63,Rohit,-5.0,20038.0,JMlpKZDHvH,rlcepo@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
64,Rohit,-5.0,-10000.0,i8PLuJWgR7,abc@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
65,Rohit,-5.0,,MMy7z57H6t,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
66,Rahul,52.0,53348.0,2Oc8T6XBM3,rvbzeh@gmail.com,False,True,True,True,False,Invalid PAN
67,Aman,54.0,,RPJWZ4989D,,True,False,True,False,False,"Invalid Email, Invalid Salary"
68,Neha,-5.0,-10000.0,pv89xhRoAx,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
69,,130.0,-10000.0,w8yWq4R675,abc@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
70,Aman,-5.0,-10000.0,NOlSJmcwKP,jbmump@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
71,Simran,,,lSxwVNx6Gg,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
72,Rahul,130.0,-10000.0,YFJMX1726I,,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
73,Priya,38.0,,c2EtrDUpjH,fxaozs@gmail.com,False,True,True,False,False,"Invalid PAN, Invalid Salary"
74,Rahul,6.0,,i6SWnShA18,,False,False,True,False,False,"Invalid PAN, Invalid Email, Invalid Salary"
76,Rohit,130.0,-10000.0,VO1DmmcrDv,oxabcv@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
77,Priya,-5.0,40562.0,zAtGcM6lzW,oeityy@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
78,Anjali,96.0,,HMMYQ4327L,fongjg@gmail.com,True,True,True,False,False,Invalid Salary
79,Simran,130.0,74379.0,GSLYC0uv1n,oeegnx@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
80,Anjali,130.0,,6mrrpx7vw3,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
81,Anjali,-5.0,63704.0,JZZMX0886Y,user@,True,False,False,True,False,"Invalid Email, Invalid Age"
82,Rohit,57.0,59693.0,voThwZKY6f,abc@,False,False,True,True,False,"Invalid PAN, Invalid Email"
83,Aman,130.0,,he3gwBZQc2,abc@,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
84,Karan,,,SfTFNrTEDD,gmwlwp@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
85,Anjali,,,tU9jKHjUpX,fxdvvk@gmail.com,False,True,False,False,False,"Invalid PAN, Invalid Age, Invalid Salary"
86,Karan,65.0,,GGQYT3672E,user@,True,False,True,False,False,"Invalid Email, Invalid Salary"
87,Rahul,-5.0,,CJEWJ3285C,cdjegq@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
88,Simran,-5.0,,4JJnRT0wpr,test@gmail,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
89,Anjali,,37900.0,WLDJE9666R,kxhpxc@gmail.com,True,True,False,True,False,Invalid Age
90,Priya,-5.0,86266.0,iyeF2i41ye,yjmstg@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
91,Simran,130.0,-10000.0,MBWVX3691I,xgsqfg@gmail.com,True,True,False,False,False,"Invalid Age, Invalid Salary"
92,Neha,,51548.0,GPQLI5438M,dmvcjp@gmail.com,True,True,False,True,False,Invalid Age
93,Rohit,94.0,,YPRFD3943L,tvfyoa@gmail.com,True,True,True,False,False,Invalid Salary
94,Anjali,130.0,90393.0,A0kyNxiSud,abc@,False,False,False,True,False,"Invalid PAN, Invalid Email, Invalid Age"
95,Anjali,,60048.0,4z5qJKb9MJ,cldxnj@gmail.com,False,True,False,True,False,"Invalid PAN, Invalid Age"
96,Karan,130.0,-10000.0,TlsjLJhBBt,,False,False,False,False,False,"Invalid PAN, Invalid Email, Invalid Age, Invalid Salary"
97,Anjali,51.0,-10000.0,tGA9cvSYEg,zfuxsb@gmail.com,False,True,True,False,False,"Invalid PAN, Invalid Salary"
98,,49.0,,IRZQL7929Y,oemeqm@gmail.com,True,True,True,False,False,Invalid Salary
99,Simran,-5.0,32387.0,DKURY3340C,eigzwg@gmail.com,True,True,False,True,False,Invalid Age
100,Aman,130.0,-10000.0,KPMIP3703P,user@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
101,Karan,-5.0,-10000.0,PBMYW4727H,user@,True,False,False,False,False,"Invalid Email, Invalid Age, Invalid Salary"
